model,wins_avg,losses_avg,net
v9_i100k_h4,0.8673,0.1093,0.7580
v9_i100k_h3,0.7841,0.1725,0.6116
v9_i100k_h0,0.7543,0.2510,0.5033
v9_i100k_mean,0.7288,0.2456,0.4832
v9_i100k_h2,0.7219,0.2540,0.4679
v9_i100k_h1,0.6821,0.3078,0.3743
v9_i80k_mean,0.6650,0.3414,0.3235
v9_i60k_mean,0.6104,0.3763,0.2342
v9_i40k_mean,0.5470,0.4524,0.0946
v8,0.4907,0.5065,-0.0158
v5,0.4637,0.4916,-0.0279
v9_i20k_mean,0.4368,0.5561,-0.1194
v9_i2k_mean,0.3921,0.5960,-0.2040
v9_i2k_h2,0.2888,0.6550,-0.3662
v9_i2k_h4,0.2757,0.6746,-0.3989
v9_i2k_h3,0.2210,0.7406,-0.5196
v9_i2k_h0,0.1301,0.8587,-0.7285
v9_i2k_h1,0.1203,0.8544,-0.7341
plain,0.1448,0.8811,-0.7363
