,v9_i2k_mean,v9_i20k_mean,v9_i40k_mean,v9_i60k_mean,v9_i80k_mean,v9_i100k_mean,v9_i2k_h0,v9_i100k_h0,v9_i2k_h1,v9_i100k_h1,v9_i2k_h2,v9_i100k_h2,v9_i2k_h3,v9_i100k_h3,v9_i2k_h4,v9_i100k_h4,v5,v8,plain
v9_i2k_mean,0.5068,0.2373,0.0000,0.4400,0.0000,0.0000,0.5962,0.0000,0.6863,0.2500,0.6604,0.0000,0.5962,0.0000,1.0000,0.4528,1.0000,0.1379,1.0000
v9_i20k_mean,0.7273,0.4200,0.7200,0.2800,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.4800,0.5882,0.0000,0.1961,0.0000,0.8704
v9_i40k_mean,1.0000,0.4000,0.6000,0.2407,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.2600,1.0000,0.2600,0.6852,0.0000,1.0000,1.0000,1.0000
v9_i60k_mean,0.7193,0.6600,0.7500,0.5370,0.4151,0.0392,1.0000,0.2830,1.0000,0.5882,1.0000,0.3729,1.0000,0.0000,1.0000,0.0000,0.1600,1.0000,1.0000
v9_i80k_mean,1.0000,1.0000,1.0000,0.5965,0.5200,0.3833,1.0000,0.0000,1.0000,0.8200,1.0000,0.0000,0.5882,0.3462,1.0000,0.2407,0.7143,0.5000,0.7800
v9_i100k_mean,1.0000,1.0000,1.0000,0.6415,0.5593,0.5323,1.0000,0.0000,0.8246,0.6129,1.0000,0.3971,1.0000,0.0000,0.7500,0.5333,0.8000,1.0000,1.0000
v9_i2k_h0,0.4211,0.0000,0.0000,0.0000,0.0000,0.0000,0.3871,0.0000,0.0000,0.0000,0.0000,0.3036,0.4182,0.2951,0.0000,0.0000,0.3750,0.2097,0.3200
v9_i100k_h0,1.0000,1.0000,1.0000,0.7736,1.0000,1.0000,1.0000,0.5588,1.0000,1.0000,0.5833,0.3167,0.5000,0.0000,0.8431,0.0000,0.5614,1.0000,1.0000
v9_i2k_h1,0.0000,0.0000,0.0000,0.0000,0.0000,0.3051,1.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.2200,0.0000,0.0000,0.0000,0.1579,0.0000,0.4828
v9_i100k_h1,0.6731,1.0000,1.0000,0.4340,0.4000,0.3906,1.0000,0.0000,1.0000,0.4219,1.0000,0.6607,1.0000,0.0000,1.0000,0.0000,1.0000,0.7200,1.0000
v9_i2k_h2,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.4211,0.8167,0.0000,0.6207,0.0000,0.2687,0.1698,0.3148,0.0000,0.8431,0.0000,1.0000
v9_i100k_h2,1.0000,1.0000,0.7800,0.6667,1.0000,0.2419,0.8214,0.6667,1.0000,0.3585,1.0000,0.5400,1.0000,0.2642,1.0000,0.0000,0.5410,0.6538,1.0000
v9_i2k_h3,0.3600,0.0000,0.0000,0.0000,0.3654,0.0000,0.4906,0.5000,0.6852,0.0000,0.2969,0.0000,0.4200,0.0000,0.2800,0.0000,0.0000,0.0000,1.0000
v9_i100k_h3,1.0000,0.5800,0.7000,1.0000,0.5593,1.0000,0.7000,1.0000,1.0000,1.0000,0.7115,0.6000,1.0000,0.4400,1.0000,0.0000,0.5000,0.7627,1.0000
v9_i2k_h4,0.0000,0.3509,0.1923,0.0000,0.0000,0.4200,0.6721,0.2321,1.0000,0.0000,0.2037,0.0000,0.7400,0.0000,0.4600,0.2600,0.0000,0.2241,0.6667
v9_i100k_h4,0.5400,1.0000,1.0000,1.0000,0.7843,0.3810,1.0000,1.0000,1.0000,0.5781,1.0000,1.0000,1.0000,1.0000,0.7200,0.5600,1.0000,0.6078,1.0000
v5,0.1833,0.5862,0.0000,0.7000,0.2407,0.2600,0.6863,0.4151,0.6800,0.0000,0.3333,0.2615,1.0000,0.0000,1.0000,0.0000,0.4600,1.0000,1.0000
v8,0.7407,1.0000,0.0000,0.0000,0.5200,0.0000,0.7200,0.0000,1.0000,0.3333,1.0000,0.4000,1.0000,0.2903,0.6078,0.4800,0.0000,0.1774,0.7400
plain,0.0000,0.1961,0.0000,0.0000,0.3019,0.0000,0.7692,0.0000,0.6863,0.0000,0.0000,0.0000,0.0000,0.0000,0.3529,0.0000,0.0000,0.3000,0.5556
